"","Incident_Number","lon","lat"
"242",2014004428,-92.3877095,38.9337179
"243",2014004777,-92.2919918,38.9313962
"244",2014004523,-92.3443798,38.9601274
"245",2014004250,-92.3351856,38.9175175
"246",2014004230,-92.3352099,38.9460662
"247",2014004310,-92.3217669,38.99303
"248",2014004178,-92.3336286,38.8995302
"249",2014004223,-92.3351856,38.9175175
"250",2014004171,-92.3411318,38.8982563
"251",2014004205,-92.3155425,38.9331147
"252",2014004280,-92.3155425,38.9331147
"253",2014004184,-92.3411318,38.8982563
"254",2014004765,-92.3273237,38.9644731
"255",2014004187,-92.337852,38.8984279
"256",2014004632,-92.2869671,38.9843551
"257",2014004450,-92.3155425,38.9331147
"258",2014004221,-92.3155425,38.9331147
"259",2014004281,-92.3155425,38.9331147
"260",2014004398,-92.3336286,38.8995302
"261",2014004735,-92.3557348,38.9666758
"262",2014004669,-92.3273098,38.9469646
"263",2014004672,-92.3472267,38.9665399
"264",2014004174,-92.3411318,38.8982563
"265",2014004425,-92.3945894,38.951953
"266",2014004268,-92.3267804,38.9360797
"267",2014004729,-92.3151143,38.9635336
"268",2014004305,-92.3217669,38.99303
"269",2014004182,-92.3245222,38.9911283
"270",2014004214,-92.3155425,38.9331147
"271",2014005376,-92.3273209,38.9639562
"272",2014005386,-92.3221421,38.9643244
"273",2014005448,-92.3184506,38.9524986
"274",2014005359,-92.3620287,38.9306427
"275",2014005469,-92.3334197,38.9811775
"276",2014004792,-92.329984,38.966408
"277",2014005482,-92.3225823,39.0008656
"278",2014005389,-92.3190848,38.9463977
"279",2014005484,-92.3225823,39.0008656
"280",2014005446,-92.3044216,38.8985993
"281",2014004977,-92.3542522,38.8986797
"282",2014005477,-92.3321874,38.9328317
"283",2014005136,-92.3613052,38.956581
"284",2014004928,-92.3257253,38.9863446
"285",2014005407,-92.3295034,38.9643854
"286",2014005475,-92.3186918,39.0044693
"287",2014005400,-92.3361484,38.9169034
"288",2014005480,-92.2930145,38.9603828
"289",2014004922,-92.3257253,38.9863446
"290",2014004955,-92.3218363,38.9640047
"291",2014005238,-92.3273362,38.9639454
"292",2014005138,-92.3363811,38.9159248
"293",2014004788,-92.3351856,38.9175175
"294",2014005488,-92.3221421,38.9643244
"295",2014005104,-92.3070577,38.9732618
"296",2014004801,-92.289923,38.963254
"297",2014004806,-92.2983883,38.9120667
"298",2014005220,-92.2892198,38.9746992
"299",2014005185,-92.2919916,38.9470357
"300",2014005051,-92.3291728,38.9523753
"301",2014005125,-92.2954781,38.978912
"302",2014005473,-92.2867917,38.9435138
"303",2014005489,-92.324666,38.9652883
"304",2014005114,-92.2954781,38.978912
"305",2014004805,-92.3557348,38.9666758
"306",2014005390,-92.326724,38.970885
"307",2014005279,-92.285307,38.991373
"308",2014004890,-92.3025347,38.983043
"309",2014005391,-92.3328086,38.9689878
"310",2014005443,-92.3728295,38.9467217
"311",2014005344,-92.3219103,38.9567041
"312",2014004877,-92.2999931,38.9929324
"313",2014004798,-92.3359339,38.9061557
"314",2014005432,-92.3184506,38.9524986
"315",2014004930,-92.2955362,38.9471898
"316",2014005454,-92.3186918,39.0044693
"317",2014004803,-92.3155425,38.9331147
"318",2014004813,-92.3257253,38.9863446
"319",2014004941,-92.3257253,38.9863446
"320",2014005363,-92.3257253,38.9863446
"321",2014005417,-92.3285737,38.9382111
"322",2014004959,-92.3242614,38.966184
"323",2014005041,-92.337321,38.9089826
"324",2014005433,-92.3239472,38.9541325
"325",2014004825,-92.3449605,38.962257
"326",2014004793,-92.3155425,38.9331147
"327",2014005098,-92.2914749,38.9807827
"328",2014005087,-92.2869671,38.9843551
"329",2014004908,-92.3257253,38.9863446
"330",2014005476,-92.3364623,38.9565125
"331",2014005168,-92.316096,38.9949027
"332",2014004886,-92.3025347,38.983043
"333",2014004884,-92.2934551,38.9492411
"334",2014004906,-92.3255045,38.9601176
"335",2014005428,-92.2879466,38.9602806
"336",2014005324,-92.315575,38.9329928
"337",2014005282,-92.3744512,38.9572205
"338",2014005366,-92.3383184,38.9596524
"339",2014005412,-92.3102622,38.963059
"340",2014005487,-92.3385461,38.9671746
"341",2014005079,-92.3351856,38.9175175
"342",2014004789,-92.3257253,38.9863446
"343",2014006098,-92.2916261,38.9332396
"344",2014005557,-92.3495657,38.9008016
"345",2014005614,-92.2934551,38.9492411
"346",2014006126,-92.3351856,38.9175175
"347",2014006020,-92.3613052,38.956581
"348",2014005571,-92.321484,38.9574916
"349",2014006023,-92.3318887,38.9394754
"350",2014006121,-92.3351856,38.9175175
"351",2014005621,-92.3018685,38.9961371
"352",2014005677,-92.2795856,38.9690837
"353",2014006134,-92.3155425,38.9331147
"354",2014006136,-92.3361484,38.9169034
"355",2014005924,-92.3527497,38.9588557
"356",2014005747,-92.309177,38.9133076
"357",2014006253,-92.289923,38.963254
"358",2014006073,-92.3011876,38.9688231
"359",2014006260,-92.309177,38.9133076
"360",2014006254,-92.3264244,38.9525931
"361",2014005834,-92.3011876,38.9688231
"362",2014005928,-92.344404,38.899952
"363",2014005580,-93.9772815,39.0086916
"364",2014006258,-92.3370944,38.9519944
"365",2014005574,-92.3495588,38.8693409
"366",2014006118,-92.3532908,38.9390821
"367",2014005942,-92.2983883,38.9120667
"368",2014005789,-92.3415134,38.935486
"369",2014005563,-92.3221048,38.9429599
"370",2014005705,-92.2795856,38.9690837
"371",2014005575,-92.3257253,38.9863446
"372",2014006119,-92.3351856,38.9175175
"373",2014005675,-92.3509099,38.9117247
"374",2014005995,-92.3197599,38.9497952
"375",2014005741,-92.2983883,38.9120667
"376",2014005802,-92.3318887,38.9394754
"377",2014006066,-92.3024395,38.9666076
"378",2014005516,-92.3136344,38.9138985
"379",2014005558,-92.3171081,38.9632098
"380",2014006171,-92.364336,38.928149
"381",2014005698,-92.3257253,38.9863446
"382",2014006144,-92.3394339,38.9076269
"383",2014005540,-92.2557142,38.9650818
"384",2014005713,-92.2795856,38.9690837
"385",2014005843,-92.3328086,38.9689878
"386",2014005888,-92.3527497,38.9588557
"387",2014005791,-92.3361484,38.9169034
"388",2014006169,-92.309177,38.9133076
"389",2014006210,-92.2728417,38.9647989
"390",2014006029,-92.3415134,38.935486
"391",2014006214,-92.3995693,38.9344541
"392",2014005647,-92.3877095,38.9337179
"393",2014005832,-92.3181078,38.9842153
"394",2014006110,-92.3155425,38.9331147
"395",2014005660,-92.2935177,38.9539773
"396",2014005491,-92.3364623,38.9565125
"397",2014005497,-92.3257253,38.9863446
"398",2014005501,-92.3744512,38.9572205
"399",2014005642,-92.3218363,38.9640047
"400",2014005528,-92.329984,38.966408
"401",2014005498,-92.3105627,38.933127
"402",2014005628,-92.3018685,38.9961371
"403",2014005978,-92.3305211,38.9512482
"404",2014005689,-92.3255045,38.9601176
"405",2014005823,-92.3351856,38.9175175
"406",2014005672,-92.3257253,38.9863446
"407",2014006009,-92.3351856,38.9175175
"408",2014005709,-92.3689569,38.9609653
"409",2014005657,-92.2795856,38.9690837
"410",2014006129,-92.3532908,38.9390821
"411",2014005522,-92.3351856,38.9175175
"412",2014006833,-92.3565317,38.9159303
"413",2014006305,-92.360477,38.93475
"414",2014006735,-92.3352099,38.9460662
"415",2014006860,-92.33012,38.9505309
"416",2014006338,-92.2916261,38.9332396
"417",2014006847,-92.3652684,38.949589
"418",2014006858,-92.3225823,39.0008656
"419",2014006421,-92.3043529,38.9731394
"420",2014006809,-92.3821219,38.9547777
"421",2014006308,-92.3166403,38.9554632
"422",2014006703,-92.3532908,38.9390821
"423",2014006304,-92.3256576,38.9529447
"424",2014006549,-92.3300336,38.9556618
"425",2014006301,-92.3209055,38.9613218
"426",2014006682,-92.3809558,38.9434008
"427",2014006298,-92.2927998,38.9087438
"428",2014006266,-92.3136344,38.9138985
"429",2014006853,-92.3237119,38.951793
"430",2014006732,-92.335675,38.9501194
"431",2014006737,-92.3497559,38.8993708
"432",2014006757,-92.3364546,38.9577221
"433",2014006273,-92.2867917,38.9435138
"434",2014006299,-92.2916261,38.9332396
"435",2014006714,-92.3225823,39.0008656
"436",2014006729,-92.3166403,38.9554632
